疾病名称,疾病链接,菜品名称,配方,功效,制法
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,藕丝羹,嫩鲜藕500克，鸡蛋3个，京糕160克，蜜枣100克，青梅100克，白糖200克。,健脾开胃。,将嫩鲜藕洗净，削去外皮，切成约5厘米长的细丝，放人开水锅内氽一下，捞出。京糕、蜜枣、青梅等均切成与藕同样的细丝。将3个鸡蛋清放入碗内，加入相当蛋清一半的水，用筷子打匀放在大盘内。置放笼里用武火蒸5分钟，即成白色固体蛋羹。然后将各种丝分为5份摆在蛋羹上，两端为藕丝，中间为京糕、蜜枣、青梅丝。锅内倒入200克水，放入白糖，烧开后，用湿淀粉勾成白色甜汁，淋至菜上即可。
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,山药茯苓包子,山药 粉、 茯苓 粉各50克，面粉200克，白糖300克。,健脾补气。,山药粉、茯苓粉放在大碗中，加水适量，浸泡成糊，蒸半小时后成糕状。调面粉，常法发面。以白糖、猪油、青红丝少许与山药茯苓糕合成馅，包成包子，蒸熟即可。
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,党参牛肉汤,党参 100克，五花牛肉500克。,补中益气。,将党参用纱布袋装好扎紧，牛肉切块，同时放入锅中，加入姜、葱、料酒及适量水，大火烧沸，去浮沫，改小火炖3小时，至牛肉熟烂，取出党参，调味即成。
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,莲子猪肚,猪肚 1个，水发莲子40枚。,健脾益胃，补虚益气。,将猪肚洗净，装入水发莲子（去心），用线扎紧肚口，放人锅内，加水适量，炖熟，捞出晾凉，再将猪肚切成细丝，与莲子一起放入盘内。用香油、精盐、葱、 生姜 、大等调料与猪肚丝、莲子拌匀即可食用。
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,淮山药泥,淮山药200克，豆沙150克，京糕100克，水豆粉50克，白糖150克，猪油100克。,健脾和胃。,将淮山药粉碎成细末，加入白糖50克，加少许水，搅成细泥，放碗内，京糕加工成细泥，另放碗内，加白糖25克，拌匀，豆沙另碗内，然后将3个碗均上笼蒸熟透后，取出待用。将炒锅烧热，倒入猪油，依次炒京糕泥和豆沙，分别盛在淮山药的两边。将炒勺置武火上，加清水少许，白糖75克，烧沸去沫，用水豆粉勾芡，浇在三泥上面即成。
中气不足型低血压,http://www.cnzyao.com/shiliao/nk/5656.html,参苓山药汤圆,人参 、茯苓、山药各10克，豆沙泥30克，干糯米粉、白糖、熟猪油各适量。,补脾健胃，益气补肾。,将人参、茯苓、山药蒸熟，捣成泥，与豆沙泥、白糖、熟猪油共同拌匀，搓成拇指头大的丸子，备用。将干糯米粉放在盘中，然后放上参苓山药豆沙丸子，将盘于左右摆动，让丸子均匀粘上糯米粉，这时再将粘有糯米粉的丸子逐个蘸水，再放进盘中滚动，使其再粘上干糯米粉，如此反复操作三四次，便成为汤圆。将汤圆在沸水中煮熟，即可食用。
心脾两虚型低血压,http://www.cnzyao.com/shiliao/nk/5655.html,牛肉冻胶,：牛肉1000克，黄酒250克。,：益气健脾。,：将牛肉切成小块，放入锅内，加水适量煎煮，去浮沫，每小时取肉汁1次，加水再煎，前后共取肉汁4次，合并肉汁，以小火继续煎熬，煮至肉汁稠黏时，加入黄酒，再熬至稠黏时停火，将黏稠液倒入盆内，冷藏备用。
心脾两虚型低血压,http://www.cnzyao.com/shiliao/nk/5655.html,蜜枣扒山药,： 山药 1000克，蜜枣150克，罐头樱桃10粒，猪网油1张（碗口大），猪油15克，白糖200克，糖桂花适量。,：补益脾胃，补肾养心。,：将山药煮熟去皮，蜜枣用温水洗净，切成两半，去核。猪网油洗净，晾干水分。樱桃去核备用。扣碗内抹上猪油，将网油平垫碗底，放入樱桃，将蜜枣围在樱桃周围。把山药切成3～4厘米长段，顺长剖为4片，码在蜜枣上。码一层山药，撤一层白糖，依次将山药码完。稍淋些猪油，最上层加入糖桂花，上笼蒸熟。上菜时，将扣碗取出，扣入盘内，去网油。同时给锅内倒入清水，放入白糖溶化，用湿淀粉勾成稀芡，淋于山药上即成。
肾阳亏虚型低血压,http://www.cnzyao.com/shiliao/nk/5653.html,淫羊藿酒,： 淫羊藿 30克，白酒500毫升。,： 益气温阳。,： 将淫羊藿放人白酒中，密封，浸泡7日。
肾阳亏虚型低血压,http://www.cnzyao.com/shiliao/nk/5653.html,鹿茸蛋,： 鹿茸 粉0.3克，鸡蛋1个。,： 补肾益精。,： 将鹿茸粉放入鸡蛋内，蒸熟食之。
肾阳亏虚型低血压,http://www.cnzyao.com/shiliao/nk/5653.html,砂锅牛尾,： 带皮牛尾1000克，净母鸡肉300克，干贝10克，熟火腿30克，鸡汤1500克，猪油30克。,： 补肾壮阳。,：将牛尾用火燎去小毛，刷洗干净，剁成段。火腿肉切成片，干贝去掉筋洗净，把母鸡肉放在水中浸透。锅内放猪油烧热，倒入花椒、葱10克，姜5克（拍松），煸出香味，将牛尾段倒入锅内，用大火煸出血水后，放人料酒，继续煸炒，待牛尾段完全断生，将锅离火取出牛尾段，用水洗净，控干水分。将砂锅置火上，倒入鸡汤，加入葱5克，姜10克，料酒、盐，再将牛尾段、火腿片、干贝和母鸡肉放人锅内，煮开后去浮沫，用文火炖4小时（中间加
